AircraftId,Date,DayOfTheWeek,AircraftType,Origin,Destination,DepartureAEST,DepartureHour,ArrivalAEST,Duration
FD425,15/07/2022,Friday,BE20,Bundaberg (BDB / YBUD),Bundaberg (BDB / YBUD),4:32 PM,16,4:32 PM,0
FD596,14/07/2022,Thursday,PC12,Adelaide Int'l (ADL / YPAD),Adelaide Int'l (ADL / YPAD),6:58 PM,18,6:58 PM,0
FD619,16/07/2022,Saturday,PC12,Jandakot (JAD / YPJT),Jandakot (JAD / YPJT),5:04 AM,5,5:04 AM,0
FD425,15/07/2022,Friday,BE20,Gladstone (GLT / YGLA),Gladstone (GLT / YGLA),11:29 PM,23,11:30 PM,1
FD607,7/07/2022,Thursday,PC12,Broome Int'l (BME / YBRM),Broome Int'l (BME / YBRM),6:50 PM,18,6:51 PM,1
FD619,13/07/2022,Wednesday,PC12,Jandakot (JAD / YPJT),Jandakot (JAD / YPJT),8:57 PM,20,8:58 PM,1
FD416,11/07/2022,Monday,BE20,Mount Isa (ISA / YBMA),Mount Isa (ISA / YBMA),10:39 AM,10,10:41 AM,2
FD456,15/07/2022,Friday,BE20,Brisbane (BNE / YBBN),Brisbane (BNE / YBBN),1:58 PM,13,2:01 PM,3
FD849,5/07/2022,Tuesday,PC12,Alice Springs (ASP / YBAS),Alice Springs (ASP / YBAS),2:45 AM,2,2:49 AM,4
FD874,5/07/2022,Tuesday,PC12,Snake Bay (SNB / YSNK),Garden Point (GPN / YGPT),8:46 AM,8,8:50 AM,4
FD874,12/07/2022,Tuesday,PC12,Garden Point (GPN / YGPT),Snake Bay (SNB / YSNK),4:34 PM,16,4:39 PM,5
FD607,6/07/2022,Wednesday,PC12,Broome Int'l (BME / YBRM),Broome Int'l (BME / YBRM),3:45 AM,3,3:51 AM,6
FD478,17/07/2022,Sunday,BE20,Kingaroy (KGY / YKRY),Toowoomba (YTWB),9:40 PM,21,9:47 PM,7
FD596,6/07/2022,Wednesday,PC12,Adelaide Int'l (ADL / YPAD),Kadina (YKDI),12:11 AM,0,12:18 AM,7
FD493,8/07/2022,Friday,BE20,Eulo (YEUO),Yowah (YYWA),12:46 PM,12,12:54 PM,8
FD534,11/07/2022,Monday,PC12,Quorn (YQRN),Port Pirie (PPI / YPIR),6:55 PM,18,7:03 PM,8
FD538,18/07/2022,Monday,PC12,Bordertown (YBOR),Naracoorte (NAC / YNRC),1:59 PM,13,2:07 PM,8
FD602,8/07/2022,Friday,PC12,Jandakot (JAD / YPJT),Jandakot (JAD / YPJT),5:59 PM,17,6:07 PM,8
FD602,10/07/2022,Sunday,PC12,Jandakot (JAD / YPJT),Rottnest Island (RTS / YRTI),5:37 AM,5,5:45 AM,8
FD534,11/07/2022,Monday,PC12,Port Augusta (PUG / YPAG),Quorn (YQRN),5:03 PM,17,5:12 PM,9
FD602,10/07/2022,Sunday,PC12,Rottnest Island (RTS / YRTI),Jandakot (JAD / YPJT),6:24 AM,6,6:33 AM,9
FD596,5/07/2022,Tuesday,PC12,Millicent (MLR / YMCT),Mount Gambier (MGB / YMTG),6:29 PM,18,6:39 PM,10
FD467,13/07/2022,Wednesday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),3:07 PM,15,3:18 PM,11
FD534,13/07/2022,Wednesday,PC12,Cummins Town (YCMM),Port Lincoln (PLO / YPLC),9:37 AM,9,9:48 AM,11
FD534,16/07/2022,Saturday,PC12,Hubert Wilkings Airstrip (YJST),Port Pirie (PPI / YPIR),1:56 PM,13,2:07 PM,11
FD538,16/07/2022,Saturday,PC12,Hubert Wilkings Airstrip (YJST),Port Pirie (PPI / YPIR),1:56 PM,13,2:07 PM,11
FD596,8/07/2022,Friday,PC12,Whyalla (WYA / YWHA),Port Pirie (PPI / YPIR),6:52 PM,18,7:03 PM,11
FD425,17/07/2022,Sunday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),6:32 PM,18,6:44 PM,12
FD596,8/07/2022,Friday,PC12,Port Augusta (PUG / YPAG),Whyalla (WYA / YWHA),5:31 PM,17,5:43 PM,12
FD425,12/07/2022,Tuesday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),7:39 PM,19,7:52 PM,13
FD478,3/07/2022,Sunday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),8:46 PM,20,8:59 PM,13
FD624J,7/07/2022,Thursday,PC24,Broome Int'l (BME / YBRM),Broome Int'l (BME / YBRM),7:46 AM,7,7:59 AM,13
FD853,12/07/2022,Tuesday,PC12,Anthony Lagoon (AYL / YANL),Brunette Downs (YBRU),8:25 AM,8,8:38 AM,13
FD874,14/07/2022,Thursday,PC12,Bathurst Island (BRT / YBTI),Darwin Int'l / RAAF (DRW / YPDN),6:14 PM,18,6:27 PM,13
FD425,10/07/2022,Sunday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),7:14 PM,19,7:28 PM,14
FD425,11/07/2022,Monday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),8:56 PM,20,9:10 PM,14
FD425,15/07/2022,Friday,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),10:44 AM,10,10:58 AM,14
FD449,13/07/2022,Wednesday,B350,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),9:17 PM,21,9:31 PM,14
